LECROYWR104Xi-A,51949,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,05-Oct-2023 10:22:38,0                 
Time,Ampl
3.0585034e-006,0.0403715
3.0586034e-006,0.0514961
3.0587034e-006,0.053496
3.0588034e-006,0.0523711
3.0589034e-006,0.0497462
3.0590034e-006,0.0449964
3.0591034e-006,0.0383716
3.0592034e-006,0.0332468
3.0593034e-006,0.0353717
3.0594034e-006,0.0414965
3.0595034e-006,0.0428714
3.0596034e-006,0.0432464
3.0597034e-006,0.0493712
3.0598034e-006,0.0527461
3.0599034e-006,0.0437464
3.0600034e-006,0.0294969
3.0601034e-006,0.0258721
3.0602034e-006,0.0386216
3.0603034e-006,0.0579959
3.0604034e-006,0.0688704
3.0605034e-006,0.0623707
3.0606034e-006,0.0448714
3.0607034e-006,0.026997
3.0608034e-006,0.0126226
3.0609034e-006,0.0046229
3.0610034e-006,0.00224799
3.0611034e-006,0.00287297
3.0612034e-006,0.00524788
3.0613034e-006,0.00824776
3.0614034e-006,0.00699781
3.0615034e-006,-0.00287681
3.0616034e-006,-0.0135014
3.0617034e-006,-0.0126264
3.0618034e-006,0.00174801
3.0619034e-006,0.0217472
3.0620034e-006,0.0382466
3.0621034e-006,0.0457463
3.0622034e-006,0.0432464
3.0623034e-006,0.0322468
3.0624034e-006,0.0171224
3.0625034e-006,0.0047479
3.0626034e-006,-0.00237683
3.0627034e-006,-0.00537671
3.0628034e-006,-0.00412676
3.0629034e-006,0.000623056
3.0630034e-006,0.00912273
3.0631034e-006,0.0161225
3.0632034e-006,0.0143725
3.0633034e-006,0.0106227
3.0634034e-006,0.0136226
3.0635034e-006,0.0168724
3.0636034e-006,0.0124976
3.0637034e-006,0.00549787
3.0638034e-006,0.00262298
3.0639034e-006,0.00337295
3.0640034e-006,0.00537287
3.0641034e-006,0.00824776
3.0642034e-006,0.00962271
3.0643034e-006,0.00912273
3.0644034e-006,0.0121226
3.0645034e-006,0.0188724
3.0646034e-006,0.0218722
3.0647034e-006,0.0174974
3.0648034e-006,0.0117476
3.0649034e-006,0.0133726
3.0650034e-006,0.0258721
3.0651034e-006,0.0421215
3.0652034e-006,0.0503711
3.0653034e-006,0.0468713
3.0654034e-006,0.0399965
3.0655034e-006,0.0422465
3.0656034e-006,0.0513711
3.0657034e-006,0.0512461
3.0658034e-006,0.0318719
3.0659034e-006,0.00749779
3.0660034e-006,0.00187301
3.0661034e-006,0.0166224
3.0662034e-006,0.0356217
3.0663034e-006,0.0453713
3.0664034e-006,0.0444964
3.0665034e-006,0.0388716
3.0666034e-006,0.0306219
3.0667034e-006,0.0211223
3.0668034e-006,0.0171224
3.0669034e-006,0.0187474
3.0670034e-006,0.0174974
3.0671034e-006,0.0143725
3.0672034e-006,0.0197473
3.0673034e-006,0.0332468
3.0674034e-006,0.0422465
3.0675034e-006,0.0441214
3.0676034e-006,0.0483712
3.0677034e-006,0.055371
3.0678034e-006,0.0583708
3.0679034e-006,0.0519961
3.0680034e-006,0.0377466
3.0681034e-006,0.0251221
3.0682034e-006,0.0169974
3.0683034e-006,0.0103727
3.0684034e-006,0.0112476
